user_id,product_id,event_type,timestamp,implicit_score
320,343,view,2025-05-12,1
138,367,view,2025-03-04,1
38,465,purchase,2025-05-12,5
111,241,view,2025-05-13,1
480,199,view,2025-05-18,1
368,500,view,2025-04-18,1
220,16,view,2025-06-21,1
337,296,view,2025-02-09,1
223,365,view,2025-02-05,1
136,788,view,2025-02-04,1
256,239,view,2025-02-28,1
360,581,view,2025-04-26,1
409,301,cart,2025-01-31,3
329,6,cart,2025-06-23,3
450,235,view,2025-02-18,1
463,224,view,2025-05-14,1
434,453,view,2025-04-16,1
451,433,cart,2025-01-19,3
49,386,cart,2025-04-06,3
292,619,purchase,2025-06-19,5
382,295,view,2025-01-30,1
324,118,view,2025-01-26,1
78,405,view,2025-05-11,1
105,680,view,2025-06-10,1
169,763,view,2025-02-19,1
217,594,view,2025-06-08,1
378,566,cart,2025-04-21,3
119,226,view,2025-04-06,1
190,12,cart,2025-03-23,3
255,209,view,2025-05-18,1
370,165,purchase,2025-01-22,5
266,209,purchase,2025-02-23,5
149,519,purchase,2025-06-28,5
164,568,cart,2025-03-22,3
140,434,cart,2025-05-12,3
347,578,view,2025-02-06,1
488,614,view,2025-03-04,1
258,799,cart,2025-02-20,3
374,683,cart,2025-05-16,3
269,77,purchase,2025-01-01,5
181,48,view,2025-01-08,1
160,767,view,2025-03-22,1
351,82,cart,2025-04-15,3
400,721,purchase,2025-04-22,5
288,209,view,2025-05-17,1
288,445,view,2025-06-28,1
380,194,view,2025-05-24,1
226,72,view,2025-02-28,1
11,29,view,2025-02-14,1
10,304,view,2025-06-14,1
271,279,purchase,2025-04-01,5
273,502,view,2025-03-07,1
424,446,view,2025-02-05,1
402,628,cart,2025-03-17,3
183,490,purchase,2025-02-19,5
457,781,purchase,2025-04-09,5
153,428,view,2025-04-05,1
488,559,purchase,2025-05-27,5
315,359,view,2025-06-03,1
334,91,cart,2025-04-28,3
124,53,view,2025-04-10,1
473,730,view,2025-03-09,1
114,589,view,2025-04-22,1
278,286,view,2025-06-20,1
500,556,purchase,2025-05-07,5
414,156,view,2025-04-05,1
468,2,view,2025-05-02,1
213,357,view,2025-05-07,1
172,569,view,2025-04-13,1
288,58,purchase,2025-02-28,5
435,93,cart,2025-02-15,3
174,180,purchase,2025-02-09,5
113,493,view,2025-05-21,1
376,669,view,2025-05-01,1
405,35,view,2025-04-15,1
483,75,view,2025-01-09,1
122,289,view,2025-03-07,1
32,371,cart,2025-02-22,3
222,587,view,2025-03-22,1
119,215,view,2025-01-04,1
39,590,view,2025-05-06,1
497,767,view,2025-05-22,1
268,777,cart,2025-04-15,3
233,52,view,2025-05-16,1
431,579,view,2025-04-07,1
18,221,view,2025-06-22,1
149,164,purchase,2025-04-02,5
397,480,purchase,2025-03-19,5
149,18,cart,2025-03-24,3
126,375,view,2025-03-11,1
392,220,view,2025-02-05,1
302,684,view,2025-03-25,1
360,254,purchase,2025-05-09,5
238,722,purchase,2025-05-21,5
135,188,purchase,2025-05-20,5
151,191,view,2025-03-16,1
236,389,purchase,2025-04-10,5
224,215,view,2025-05-25,1
203,375,cart,2025-06-24,3
256,216,view,2025-02-22,1
86,474,view,2025-03-08,1
150,692,view,2025-01-10,1
235,248,view,2025-02-15,1
345,47,view,2025-03-24,1
22,65,purchase,2025-04-27,5
348,475,view,2025-01-04,1
285,146,view,2025-02-26,1
